group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Modular Inverse,Fermat's inverse,,,,1081167.0,ns,9
Modular Inverse,Fermat's inverse,,,,2196792.0,ns,18
Modular Inverse,Fermat's inverse,,,,3264459.0,ns,27
Modular Inverse,Fermat's inverse,,,,4372792.0,ns,36
Modular Inverse,Fermat's inverse,,,,5351042.0,ns,45
Modular Inverse,Fermat's inverse,,,,6482875.0,ns,54
Modular Inverse,Fermat's inverse,,,,7554083.0,ns,63
Modular Inverse,Fermat's inverse,,,,8698625.0,ns,72
Modular Inverse,Fermat's inverse,,,,9856333.0,ns,81
Modular Inverse,Fermat's inverse,,,,10794208.0,ns,90
Modular Inverse,Fermat's inverse,,,,11860292.0,ns,99
Modular Inverse,Fermat's inverse,,,,12910000.0,ns,108
Modular Inverse,Fermat's inverse,,,,13920500.0,ns,117
Modular Inverse,Fermat's inverse,,,,15026291.0,ns,126
Modular Inverse,Fermat's inverse,,,,16081625.0,ns,135
Modular Inverse,Fermat's inverse,,,,17174250.0,ns,144
Modular Inverse,Fermat's inverse,,,,18336125.0,ns,153
Modular Inverse,Fermat's inverse,,,,19526666.0,ns,162
Modular Inverse,Fermat's inverse,,,,20598667.0,ns,171
Modular Inverse,Fermat's inverse,,,,21480125.0,ns,180
Modular Inverse,Fermat's inverse,,,,22665583.0,ns,189
Modular Inverse,Fermat's inverse,,,,23871334.0,ns,198
Modular Inverse,Fermat's inverse,,,,24925583.0,ns,207
Modular Inverse,Fermat's inverse,,,,26066833.0,ns,216
Modular Inverse,Fermat's inverse,,,,27341166.0,ns,225
Modular Inverse,Fermat's inverse,,,,28179625.0,ns,234
Modular Inverse,Fermat's inverse,,,,29375667.0,ns,243
Modular Inverse,Fermat's inverse,,,,30392167.0,ns,252
Modular Inverse,Fermat's inverse,,,,31513917.0,ns,261
Modular Inverse,Fermat's inverse,,,,32456750.0,ns,270
Modular Inverse,Fermat's inverse,,,,33592625.0,ns,279
Modular Inverse,Fermat's inverse,,,,34739250.0,ns,288
Modular Inverse,Fermat's inverse,,,,35753333.0,ns,297
Modular Inverse,Fermat's inverse,,,,36964833.0,ns,306
Modular Inverse,Fermat's inverse,,,,38218792.0,ns,315
Modular Inverse,Fermat's inverse,,,,39225292.0,ns,324
Modular Inverse,Fermat's inverse,,,,40137375.0,ns,333
